分类: 央视频道🇨🇳, 名称: CCTV风云剧场, 有效: 10, IPv4: 19, IPv6: 0, 最小延迟: 703 ms, 最高速率: 4.83 M/s, 平均速率: 3.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV风云音乐, 有效: 13, IPv4: 37, IPv6: 0, 最小延迟: 54 ms, 最高速率: 13.26 M/s, 平均速率: 4.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV风云足球, 有效: 10, IPv4: 31, IPv6: 0, 最小延迟: 638 ms, 最高速率: 14.61 M/s, 平均速率: 4.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV央视台球, 有效: 10, IPv4: 22, IPv6: 0, 最小延迟: 9 ms, 最高速率: 59.63 M/s, 平均速率: 10.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV高尔夫网球, 有效: 12, IPv4: 18, IPv6: 0, 最小延迟: 19 ms, 最高速率: 25.95 M/s, 平均速率: 5.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV怀旧剧场, 有效: 12, IPv4: 18, IPv6: 0, 最小延迟: 132 ms, 最高速率: 98.83 M/s, 平均速率: 13.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV老故事, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 666 ms, 最高速率: 4.07 M/s, 平均速率: 4.02 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV世界地理, 有效: 7, IPv4: 17, IPv6: 0, 最小延迟: 416 ms, 最高速率: 6.36 M/s, 平均速率: 4.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV女性时尚, 有效: 10, IPv4: 21, IPv6: 0, 最小延迟: 721 ms, 最高速率: 5.74 M/s, 平均速率: 3.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV文化精品, 有效: 8, IPv4: 15, IPv6: 0, 最小延迟: 418 ms, 最高速率: 36.94 M/s, 平均速率: 7.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV卫生健康, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 698 ms, 最高速率: 5.16 M/s, 平均速率: 3.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV中学生, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 1095 ms, 最高速率: 0.23 M/s, 平均速率: 0.23 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV电视指南, 有效: 4, IPv4: 16, IPv6: 0, 最小延迟: 735 ms, 最高速率: 5.90 M/s, 平均速率: 2.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CGTN, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 983 ms, 最高速率: 2.54 M/s, 平均速率: 1.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.24, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN法语, 有效: 3, IPv4: 13, IPv6: 0, 最小延迟: 891 ms, 最高速率: 3.67 M/s, 平均速率: 2.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN阿拉伯语, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 910 ms, 最高速率: 3.64 M/s, 平均速率: 2.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN西班牙语, 有效: 2, IPv4: 13, IPv6: 0, 最小延迟: 858 ms, 最高速率: 3.67 M/s, 平均速率: 2.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.24, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CGTN纪录, 有效: 3, IPv4: 14, IPv6: 0, 最小延迟: 371 ms, 最高速率: 2.95 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.49, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CETV1, 有效: 17, IPv4: 111, IPv6: 0, 最小延迟: 10 ms, 最高速率: 218.02 M/s, 平均速率: 31.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CETV2, 有效: 12, IPv4: 74, IPv6: 0, 最小延迟: 8 ms, 最高速率: 307.83 M/s, 平均速率: 55.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CETV4, 有效: 14, IPv4: 88, IPv6: 0, 最小延迟: 11 ms, 最高速率: 142.33 M/s, 平均速率: 30.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 广东卫视, 有效: 40, IPv4: 158, IPv6: 0, 最小延迟: 8 ms, 最高速率: 288.74 M/s, 平均速率: 35.96 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.29, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 浙江卫视, 有效: 37, IPv4: 128, IPv6: 0, 最小延迟: 9 ms, 最高速率: 308.31 M/s, 平均速率: 21.70 M/s, 最高分辨率: 3840x2160, 平均帧率: 33.20, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 湖南卫视, 有效: 40, IPv4: 128, IPv6: 0, 最小延迟: 9 ms, 最高速率: 253.80 M/s, 平均速率: 27.45 M/s, 最高分辨率: 3840x2160, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 北京卫视, 有效: 40, IPv4: 140, IPv6: 0, 最小延迟: 8 ms, 最高速率: 264.91 M/s, 平均速率: 32.00 M/s, 最高分辨率: 3840x2160, 平均帧率: 43.68, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 湖北卫视, 有效: 31, IPv4: 113, IPv6: 0, 最小延迟: 8 ms, 最高速率: 220.19 M/s, 平均速率: 25.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.77, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 黑龙江卫视, 有效: 40, IPv4: 106, IPv6: 0, 最小延迟: 8 ms, 最高速率: 274.00 M/s, 平均速率: 22.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 安徽卫视, 有效: 38, IPv4: 118, IPv6: 0, 最小延迟: 8 ms, 最高速率: 250.31 M/s, 平均速率: 24.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 44.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 重庆卫视, 有效: 32, IPv4: 108, IPv6: 0, 最小延迟: 8 ms, 最高速率: 304.00 M/s, 平均速率: 31.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.73, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 东方卫视, 有效: 40, IPv4: 137, IPv6: 0, 最小延迟: 8 ms, 最高速率: 222.71 M/s, 平均速率: 23.14 M/s, 最高分辨率: 3840x2160, 平均帧率: 42.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 东南卫视, 有效: 40, IPv4: 119, IPv6: 0, 最小延迟: 8 ms, 最高速率: 211.66 M/s, 平均速率: 32.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 甘肃卫视, 有效: 32, IPv4: 86, IPv6: 0, 最小延迟: 9 ms, 最高速率: 239.70 M/s, 平均速率: 27.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 广西卫视, 有效: 35, IPv4: 104, IPv6: 0, 最小延迟: 9 ms, 最高速率: 281.89 M/s, 平均速率: 29.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 贵州卫视, 有效: 36, IPv4: 112, IPv6: 0, 最小延迟: 8 ms, 最高速率: 258.75 M/s, 平均速率: 27.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.92, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 海南卫视, 有效: 27, IPv4: 109, IPv6: 0, 最小延迟: 8 ms, 最高速率: 220.69 M/s, 平均速率: 32.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 河北卫视, 有效: 40, IPv4: 121, IPv6: 0, 最小延迟: 8 ms, 最高速率: 260.88 M/s, 平均速率: 28.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.92, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 河南卫视, 有效: 40, IPv4: 121, IPv6: 0, 最小延迟: 10 ms, 最高速率: 253.29 M/s, 平均速率: 23.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 吉林卫视, 有效: 39, IPv4: 116, IPv6: 0, 最小延迟: 8 ms, 最高速率: 281.47 M/s, 平均速率: 27.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.37, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 江苏卫视, 有效: 40, IPv4: 135, IPv6: 0, 最小延迟: 8 ms, 最高速率: 193.41 M/s, 平均速率: 29.09 M/s, 最高分辨率: 3840x2160, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 江西卫视, 有效: 40, IPv4: 124, IPv6: 0, 最小延迟: 9 ms, 最高速率: 278.32 M/s, 平均速率: 29.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 辽宁卫视, 有效: 40, IPv4: 113, IPv6: 0, 最小延迟: 8 ms, 最高速率: 211.13 M/s, 平均速率: 30.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 内蒙古卫视, 有效: 33, IPv4: 89, IPv6: 0, 最小延迟: 9 ms, 最高速率: 293.13 M/s, 平均速率: 30.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.44, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 宁夏卫视, 有效: 32, IPv4: 89, IPv6: 0, 最小延迟: 8 ms, 最高速率: 237.94 M/s, 平均速率: 36.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.53, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 青海卫视, 有效: 28, IPv4: 99, IPv6: 0, 最小延迟: 8 ms, 最高速率: 223.77 M/s, 平均速率: 28.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.65, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 山东卫视, 有效: 40, IPv4: 122, IPv6: 0, 最小延迟: 9 ms, 最高速率: 205.74 M/s, 平均速率: 20.68 M/s, 最高分辨率: 3840x2160, 平均帧率: 38.53, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 山西卫视, 有效: 27, IPv4: 68, IPv6: 0, 最小延迟: 8 ms, 最高速率: 254.90 M/s, 平均速率: 27.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 陕西卫视, 有效: 32, IPv4: 86, IPv6: 0, 最小延迟: 8 ms, 最高速率: 252.29 M/s, 平均速率: 28.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道🛸, 名称: 四川卫视, 有效: 40, IPv4: 120, IPv6: 0, 最小延迟: 7 ms, 最高速率: 338.53 M/s, 平均速率: 33.60 M/s, 最高分辨率: 3840x2160, 平均帧率: 38.12, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 深圳卫视, 有效: 40, IPv4: 138, IPv6: 0, 最小延迟: 9 ms, 最高速率: 254.27 M/s, 平均速率: 32.99 M/s, 最高分辨率: 3840x2160, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 卫视频道🛸, 名称: 新疆卫视, 有效: 40, IPv4: 92, IPv6: 0, 最小延迟: 10 ms, 最高速率: 98.45 M/s, 平均速率: 22.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道🛸, 名称: 云南卫视, 有效: 40, IPv4: 106, IPv6: 0, 最小延迟: 8 ms, 最高速率: 279.29 M/s, 平均速率: 34.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.20, 视频编解码器: h264, 音频编解码器: mp2
